t ms,Vin,Vcc,5V,3V3,I mA
0,9.53,9.48,5.01,3.29,5
10,9.53,9.48,5.01,3.29,5
20,9.54,9.49,5.01,3.3,5
30,9.55,9.49,5.01,3.29,6
40,9.53,9.48,5.01,3.29,5
50,9.53,9.49,5.01,3.3,4
60,9.52,9.48,5,3.3,4
70,9.53,9.47,5.01,3.3,6
80,9.55,9.49,5.01,3.3,6
90,9.54,9.49,5.01,3.3,5
100,9.55,9.5,5.01,3.29,5
110,9.53,9.48,5.01,3.29,5
120,9.52,9.49,5.01,3.3,3
130,9.54,9.49,5.01,3.3,5
140,9.53,9.48,5,3.3,5
150,9.54,9.49,5.01,3.29,5
160,9.54,9.48,5.01,3.3,6
170,9.54,9.48,5,3.3,6
180,9.54,9.49,5.01,3.29,5
190,9.55,9.5,5.01,3.29,5
200,9.53,9.49,5,3.3,4
210,9.54,9.49,5.01,3.29,5
220,9.53,9.49,5.01,3.3,4
230,9.54,9.48,5.01,3.3,6
240,9.54,9.49,5.01,3.3,5
250,9.53,9.49,5.01,3.3,4
260,9.53,9.5,5,3.3,3
270,9.54,9.49,5.01,3.29,5
280,9.54,9.49,5.01,3.3,5
290,9.55,9.49,5.01,3.3,6
300,9.53,9.49,5.01,3.3,4
310,9.54,9.49,5.01,3.3,5
320,9.54,9.49,5.01,3.3,5
330,9.54,9.48,5.01,3.29,6
340,9.54,9.47,5.01,3.3,7
350,9.54,9.49,5.01,3.3,5
360,9.53,9.49,5.01,3.3,4
370,9.53,9.49,5.01,3.3,4
380,9.53,9.5,5.01,3.3,3
390,9.54,9.49,5.01,3.3,5
400,9.54,9.48,5.01,3.3,6
410,9.54,9.49,5.01,3.3,5
420,9.54,9.48,5.01,3.29,6
430,9.54,9.49,5.01,3.3,5
440,9.54,9.5,5.01,3.3,4
450,9.53,9.49,5.01,3.29,4
460,9.53,9.49,5.01,3.3,4
470,9.53,9.48,5.01,3.3,5
480,9.54,9.49,5.01,3.3,5
490,9.53,9.48,5.01,3.3,5
500,9.54,9.49,5,3.3,5
510,9.54,9.49,5.01,3.3,5
520,9.54,9.49,5.01,3.29,5
530,9.53,9.48,5.01,3.3,5
540,9.54,9.49,5.01,3.29,5
550,9.53,9.5,5.01,3.3,3
560,9.53,9.48,5.01,3.3,5
570,9.54,9.48,5.01,3.3,6
580,9.54,9.49,5.01,3.3,5
590,9.54,9.49,5.01,3.3,5
600,9.55,9.49,5.01,3.3,6
610,9.54,9.48,5.01,3.3,6
620,9.54,9.5,5.01,3.3,4
630,9.54,9.49,5.01,3.29,5
640,9.54,9.49,5,3.3,5
650,9.53,9.48,5.01,3.3,5
660,9.53,9.5,5.01,3.29,3
670,9.53,9.49,5.01,3.29,4
680,9.53,9.48,5.01,3.29,5
690,9.54,9.5,5.01,3.3,4
700,9.54,9.49,5.01,3.3,5
710,9.54,9.49,5.01,3.29,5
720,9.53,9.49,5.01,3.29,4
730,9.54,9.49,5,3.29,5
740,9.53,9.49,5.01,3.29,4
750,9.53,9.5,5.01,3.29,3
760,9.54,9.5,5.01,3.3,4
770,9.54,9.49,5.01,3.29,5
780,9.55,9.48,5,3.29,7
790,9.55,9.49,5.01,3.3,6
800,9.54,9.48,5.01,3.3,6
810,9.54,9.49,5.01,3.3,5
820,9.54,9.49,5.01,3.29,5
830,9.53,9.48,5.01,3.3,5
840,9.54,9.49,5.01,3.3,5
850,9.55,9.49,5.01,3.29,6
860,9.53,9.48,5.01,3.29,5
870,9.54,9.49,5.01,3.3,5
880,9.55,9.49,5.01,3.29,6
890,9.54,9.48,5.01,3.3,6
900,9.54,9.49,5.01,3.3,5
910,9.54,9.5,5,3.3,4
920,9.53,9.48,5.01,3.3,5
930,9.54,9.49,5.01,3.3,5
940,9.53,9.5,5,3.3,3
950,9.55,9.48,5.01,3.3,7
960,9.53,9.49,5.01,3.3,4
970,9.54,9.49,5.01,3.3,5
980,9.54,9.49,5.01,3.29,5
990,9.53,9.48,5.01,3.3,5
1000,9.54,9.49,5.01,3.3,5
1010,9.55,9.49,5.01,3.3,6
1020,9.54,9.48,5.01,3.3,6
1030,9.54,9.48,5.01,3.29,6
1040,9.54,9.49,5.01,3.3,5
1050,9.52,9.49,5,3.29,3
1060,9.53,9.49,5.01,3.3,4
1070,9.54,9.49,5.01,3.29,5
1080,9.54,9.48,5.01,3.3,6
1090,9.54,9.48,5.01,3.3,6
1100,9.54,9.49,5.01,3.29,5
1110,9.54,9.49,5.01,3.3,5
1120,9.55,9.48,5.01,3.3,7
1130,9.54,9.5,5.01,3.3,4
1140,9.53,9.49,5.01,3.3,4
1150,9.54,9.5,5.01,3.3,4
1160,9.53,9.49,5,3.3,4
1170,9.55,9.49,5.01,3.3,6
1180,9.54,9.49,5.01,3.3,5
1190,9.54,9.5,5.01,3.3,4
1200,9.54,9.49,5.01,3.3,5
1210,9.53,9.5,5.01,3.3,3
1220,9.54,9.49,5.01,3.29,5
1230,9.54,9.48,5.01,3.3,6
1240,9.53,9.48,5.01,3.3,5
1250,9.53,9.48,5.01,3.3,5
1260,9.54,9.49,5.01,3.3,5
1270,9.54,9.49,5.01,3.3,5
1280,9.54,9.5,5.02,3.29,4
1290,9.54,9.49,5.01,3.29,5
1300,9.52,9.49,5.01,3.3,3
1310,9.53,9.48,5.01,3.3,5
1320,9.54,9.49,5.01,3.29,5
1330,9.52,9.48,5.01,3.3,4
1340,9.54,9.5,5.01,3.3,4
1350,9.54,9.49,5.01,3.3,5
1360,9.53,9.49,5.01,3.3,4
1370,9.54,9.48,5.01,3.3,6
1380,9.54,9.49,5.01,3.3,5
1390,9.53,9.49,5.01,3.3,4
1400,9.53,9.49,5.01,3.3,4
1410,9.53,9.48,5.01,3.29,5
1420,9.54,9.49,5.01,3.3,5
1430,9.53,9.48,5.01,3.3,5
1440,9.53,9.48,5.01,3.3,5
1450,9.53,9.48,5.01,3.3,5
1460,9.54,9.49,5.01,3.3,5
1470,9.53,9.48,5.01,3.3,5
1480,9.54,9.49,5.01,3.29,5
1490,9.53,9.49,5.01,3.29,4
1500,9.53,9.49,5,3.3,4
1510,9.54,9.48,5.01,3.29,6
1520,9.54,9.49,5.01,3.3,5
1530,9.54,9.48,5.01,3.3,6
1540,9.53,9.49,5,3.3,4
1550,9.54,9.49,5.01,3.29,5
1560,9.54,9.49,5.01,3.3,5
1570,9.54,9.48,5.01,3.29,6
1580,9.53,9.48,5.01,3.3,5
1590,9.54,9.48,5.01,3.3,6
1600,9.54,9.49,5.01,3.29,5
1610,9.53,9.48,5.01,3.3,5
1620,9.53,9.49,5.01,3.3,4
1630,9.54,9.48,5.01,3.3,6
1640,9.53,9.49,5.01,3.29,4
1650,9.52,9.49,5.01,3.3,3
1660,9.54,9.48,5.01,3.29,6
1670,9.53,9.48,5.01,3.29,5
1680,9.53,9.49,5.01,3.29,4
1690,9.54,9.49,5.01,3.29,5
